val_loss,val_accuracy,loss,accuracy,lr
0.7770565748214722,0.7571428418159485,1.3181318081915379,0.4821428656578064,0.0010000000474974513
1.1922789812088013,0.7142857313156128,0.5179949066202555,0.8071428537368774,0.0010000000474974513
0.2356831133365631,0.9714285731315613,0.3725937080037381,0.8714285492897034,0.0010000000474974513
0.30477991700172424,0.8857142925262451,0.22640210496527807,0.9392856955528259,0.0010000000474974513
0.07999144494533539,0.9428571462631226,0.19127564780813242,0.9392856955528259,0.0010000000474974513
0.03272927552461624,0.9857142567634583,0.11859479197820681,0.9571428298950195,0.0010000000474974513
0.03292573243379593,1.0,0.09112616845647738,0.9678571224212646,0.0010000000474974513
0.1864076554775238,0.9142857193946838,0.07972470123786479,0.9714285731315613,0.0010000000474974513
0.03342193365097046,0.9857142567634583,0.06450149739248445,0.9928571581840515,0.0010000000474974513
0.2743760943412781,0.9714285731315613,0.07536204490991492,0.9750000238418579,0.0010000000474974513
0.20825104415416718,0.9857142567634583,0.053481046686231694,0.9750000238418579,0.0010000000474974513
0.03801504895091057,1.0,0.05260518325485464,0.9750000238418579,0.0010000000474974513
0.10172780603170395,1.0,0.046142297781183776,0.9857142567634583,0.0010000000474974513
0.12443439662456512,0.9142857193946838,0.024200805259234976,0.9857142567634583,0.0010000000474974513
0.0045024133287370205,0.9428571462631226,0.02476894956946905,0.9928571581840515,0.0010000000474974513
0.015514375641942024,1.0,0.044057580008516846,0.9821428656578064,0.0010000000474974513
0.003416273044422269,1.0,0.04570314226965776,0.9821428656578064,0.0010000000474974513
